id_do_veiculo,tipo_de_veiculo,modelo_do_veiculo,categoria_das_pecas,nome_das_pecas,marca_das_pecas,modelo_do_veiculo_compativel,ano_do_veiculo_compativel,preco_da_peca,estoque,fornecedor_da_peca,codigo_de_barras,peso_da_peca_(kg),dimensao_da_peca_(cm),material_principal_da_peca,garantia_(meses),descricao_da_peca,numero_oem,data_de_fabricacao_da_peca,origem_da_peca
96,caminhao,volkswagen constellation,freios,tambor de freio,trw,volkswagen constellation,2017,1144.26,16,Jesus Ribeiro - EI,7670774178101,12.63,17x70x44,alumínio,18,"tambor de freio da marca trw, compatível com volkswagen constellation, fabricado com alumínio.",OE74358671,2024-11-16,eua
98,carro,jeep renegade,suspensao,amortecedor,mahle,jeep renegade,2013,1576.97,99,Gonçalves Lopes - ME,3120258841938,78.5,32x59x11,aço,36,"amortecedor da marca mahle, compatível com jeep renegade, fabricado com alumínio.",OE35964093,2025-02-11,china
100,carro,renault sandero,freios,pastilha de freio,mahle,renault sandero,2019,3160.24,72,Costela,6752302379714,6.38,28x78x50,cerâmica,24,"pastilha de freio da marca mahle, compatível com renault sandero, fabricado com aço.",OE52893541,2022-11-17,méxico
101,carro,fiat uno,motor,correia dentada,hella,fiat uno,2010,1079.89,67,Duarte Ltda.,2764252845489,45.33,21x16x12,cerâmica,24,"correia dentada da marca hella, compatível com fiat uno, fabricado com cerâmica.",OE78332852,2022-05-20,eua
102,caminhao,daf xf 105,suspensao,mola helicoidal,luk,daf xf 105,2019,4900.69,5,Costela,6255570620767,19.65,32x61x31,vidro,12,"mola helicoidal da marca luk, compatível com daf xf 105, fabricado com vidro.",OE58990165,2022-11-22,alemanha
103,caminhao,mercedes-benz actros,motor,bomba de oleo,trw,mercedes-benz actros,2024,2234.7,14,Aragão Cardoso - EI,6749075919391,72.69,29x44x16,alumínio,6,"bomba de oleo da marca trw, compatível com mercedes-benz actros, fabricado com vidro.",OE30447452,2023-10-25,itália
104,caminhao,mercedes-benz actros,ar-condicionado,condensador,valeo,mercedes-benz actros,2023,4486.91,16,Novaes,5381264590687,66.45,55x48x46,cerâmica,36,"condensador da marca valeo, compatível com mercedes-benz actros, fabricado com cerâmica.",OE50873833,2022-04-09,eua
105,caminhao,man tgx 29.480,suspensao,amortecedor,magneti marelli,man tgx 29.480,2023,2197.01,7,Martins Barros S.A.,9262902567192,52.6,41x18x34,aço,24,"amortecedor da marca magneti marelli, compatível com man tgx 29.480, fabricado com aço.",OE67960849,2022-10-02,japão
106,carro,chevrolet onix,motor,filtro de oleo,monroe,chevrolet onix,2020,5051.45,17,Carvalho,378688259783,27.98,59x14x42,papel,18,"filtro de oleo da marca monroe, compatível com chevrolet onix, fabricado com alumínio.",OE55143134,2022-07-12,china
107,carro,fiat uno,ar-condicionado,condensador,hella,fiat uno,2018,4112.34,61,Pinto,7426536373761,44.29,20x29x25,alumínio,12,"condensador da marca hella, compatível com fiat uno, fabricado com alumínio.",OE75262021,2024-06-05,alemanha
108,carro,fiat uno,interior,painel central,cofap,fiat uno,2012,2410.22,44,Duarte Moura e Filhos,2730227071559,68.36,49x63x37,plástico,6,"painel central da marca cofap, compatível com fiat uno, fabricado com aço.",OE31858664,2022-07-22,china
109,caminhao,scania r440,eletrica,bateria 60ah,luk,scania r440,2017,2239.99,52,Nunes,650733124728,56.26,47x28x17,ferro fundido,12,"bateria 60ah da marca luk, compatível com scania r440, fabricado com ferro fundido.",OE83241402,2022-10-26,eua
110,carro,chevrolet onix,eletrica,alternador,valeo,chevrolet onix,2011,1911.5,91,Gomes,9357779002546,29.52,63x79x29,cerâmica,6,"alternador da marca valeo, compatível com chevrolet onix, fabricado com cerâmica.",OE20336009,2023-12-23,méxico
111,carro,toyota corolla,motor,bomba de oleo,luk,toyota corolla,2022,1319.4,38,Farias da Costa - EI,5783190148404,14.31,45x25x22,alumínio,24,"bomba de oleo da marca luk, compatível com toyota corolla, fabricado com vidro.",OE65164561,2022-10-26,alemanha
113,carro,renault sandero,interior,acabamento de porta,luk,renault sandero,2019,4917.21,52,da Mata e Filhos,5628292130981,41.72,29x56x31,ferro fundido,36,"acabamento de porta da marca luk, compatível com renault sandero, fabricado com ferro fundido.",OE68611159,2025-02-16,méxico
114,carro,nissan versa,iluminacao,lanterna traseira,mahle,nissan versa,2017,1358.86,65,Cavalcanti Porto Ltda.,9698192825863,73.17,31x66x8,plástico,24,"lanterna traseira da marca mahle, compatível com nissan versa, fabricado com cerâmica.",OE83245108,2025-03-21,china
116,carro,nissan versa,eletrica,motor de partida,bosch,nissan versa,2014,2995.44,34,Moraes - ME,5235802354951,11.89,73x29x15,aço,18,"motor de partida da marca bosch, compatível com nissan versa, fabricado com plástico.",OE60123632,2024-06-01,itália
117,carro,chevrolet onix,ar-condicionado,filtro de cabine,bosch,chevrolet onix,2018,828.15,32,Correia Rodrigues S/A,3124340983759,51.75,10x80x30,plástico,18,"filtro de cabine da marca bosch, compatível com chevrolet onix, fabricado com plástico.",OE18663488,2022-08-24,eua
119,caminhao,volvo fh 540,suspensao,mola helicoidal,monroe,volvo fh 540,2018,323.3,13,Farias,9958802878390,9.15,48x38x7,plástico,12,"mola helicoidal da marca monroe, compatível com volvo fh 540, fabricado com plástico.",OE54241314,2024-12-22,alemanha
120,carro,toyota corolla,motor,bomba de oleo,magneti marelli,toyota corolla,2020,5250.1,39,Rocha Ltda.,6465587173068,60.72,16x11x22,alumínio,24,"bomba de oleo da marca magneti marelli, compatível com toyota corolla, fabricado com ferro fundido.",OE53289818,2023-08-04,china
121,caminhao,iveco stralis,eletrica,bateria 60ah,mahle,iveco stralis,2020,2362.51,26,Duarte Ltda.,6078046087372,28.62,53x63x35,borracha,18,"bateria 60ah da marca mahle, compatível com iveco stralis, fabricado com borracha.",OE65361981,2022-08-31,china
122,caminhao,mercedes-benz actros,freios,disco de freio,trw,mercedes-benz actros,2021,1083.57,77,Barbosa Duarte - EI,8114939314472,50.99,16x32x16,vidro,6,"disco de freio da marca trw, compatível com mercedes-benz actros, fabricado com vidro.",OE38303450,2023-10-23,eua
123,caminhao,mercedes-benz actros,ar-condicionado,compressor de ar,hella,mercedes-benz actros,2021,771.41,55,das Neves,4543082968517,79.69,48x43x33,alumínio,6,"compressor de ar da marca hella, compatível com mercedes-benz actros, fabricado com aço.",OE48331810,2022-11-15,itália
125,carro,peugeot 208,interior,acabamento de porta,cofap,peugeot 208,2012,2424.41,51,Caldeira Ribeiro - ME,2215256830075,45.45,24x28x11,cerâmica,24,"acabamento de porta da marca cofap, compatível com peugeot 208, fabricado com cerâmica.",OE30032447,2025-03-01,alemanha
126,caminhao,iveco stralis,iluminacao,lanterna traseira,magneti marelli,iveco stralis,2024,3400.2,74,Oliveira S/A,9530123972508,44.12,33x12x33,plástico,24,"lanterna traseira da marca magneti marelli, compatível com iveco stralis, fabricado com aço.",OE47752581,2022-09-26,eua
127,carro,renault sandero,interior,botão do painel,trw,renault sandero,2014,3132.36,78,da Mata,2895377044614,17.32,68x69x7,plástico,36,"botão do painel da marca trw, compatível com renault sandero, fabricado com cerâmica.",OE32022476,2024-12-02,china
128,carro,toyota corolla,ar-condicionado,compressor de ar,cofap,toyota corolla,2024,4066.54,51,Souza,4390518664099,4.1,43x35x36,alumínio,6,"compressor de ar da marca cofap, compatível com toyota corolla, fabricado com borracha.",OE70805496,2023-08-13,méxico
129,caminhao,scania r440,suspensao,amortecedor,luk,scania r440,2017,1459.12,62,Araújo Alves Ltda.,8428488509792,78.29,54x10x17,aço,6,"amortecedor da marca luk, compatível com scania r440, fabricado com aço.",OE18818868,2024-02-29,china
130,carro,nissan versa,motor,correia dentada,monroe,nissan versa,2023,4562.71,57,Peixoto,2193324409432,10.18,54x70x26,cerâmica,36,"correia dentada da marca monroe, compatível com nissan versa, fabricado com cerâmica.",OE93484040,2023-07-14,brasil
131,carro,renault sandero,iluminacao,lampada de farol,hella,renault sandero,2013,3919.63,84,Costa Pires S.A.,6923244266299,12.27,39x80x21,vidro,6,"lampada de farol da marca hella, compatível com renault sandero, fabricado com ferro fundido.",OE24185890,2023-07-17,brasil
